t_s,action,p_hat,u_prev,e_cmd,dt_s,u_raw,u_shaped,feed_scale,in,out
51.7,retract_suppressed,0.004561,0.0,-0.24473,0.35,,,,G1 X91.752 Y85.714 E-0.24473,; [stabilizer] RETRACTION SUPPRESSED: G1 X91.752 Y85.714 E-0.24473 | G4 S0.35 ; dwell instead of retract | G1 X91.752 Y85.714 ; travel (no extrusion) | G1 E0.600 F120.0 ; micro-prime after travel
52.05,retract_suppressed,0.004301,0.0,-0.24474,0.35,,,,G1 X95.731 Y84.066 E-0.24474,; [stabilizer] RETRACTION SUPPRESSED: G1 X95.731 Y84.066 E-0.24474 | G4 S0.35 ; dwell instead of retract | G1 X95.731 Y84.066 ; travel (no extrusion) | G1 E0.600 F120.0 ; micro-prime after travel
52.4,retract_suppressed,0.004055,0.0,-0.2447,0.35,,,,G1 X100.000 Y83.505 E-0.24470,; [stabilizer] RETRACTION SUPPRESSED: G1 X100.000 Y83.505 E-0.24470 | G4 S0.35 ; dwell instead of retract | G1 X100.000 Y83.505 ; travel (no extrusion) | G1 E0.600 F120.0 ; micro-prime after travel
52.75,retract_suppressed,0.003824,0.0,-0.2447,0.35,,,,G1 X104.269 Y84.066 E-0.24470,; [stabilizer] RETRACTION SUPPRESSED: G1 X104.269 Y84.066 E-0.24470 | G4 S0.35 ; dwell instead of retract | G1 X104.269 Y84.066 ; travel (no extrusion) | G1 E0.600 F120.0 ; micro-prime after travel
53.1,retract_suppressed,0.003606,0.0,-0.24474,0.35,,,,G1 X108.248 Y85.714 E-0.24474,; [stabilizer] RETRACTION SUPPRESSED: G1 X108.248 Y85.714 E-0.24474 | G4 S0.35 ; dwell instead of retract | G1 X108.248 Y85.714 ; travel (no extrusion) | G1 E0.600 F120.0 ; micro-prime after travel
53.45,retract_suppressed,0.0034,0.0,-0.24473,0.35,,,,G1 X111.664 Y88.336 E-0.24473,; [stabilizer] RETRACTION SUPPRESSED: G1 X111.664 Y88.336 E-0.24473 | G4 S0.35 ; dwell instead of retract | G1 X111.664 Y88.336 ; travel (no extrusion) | G1 E0.600 F120.0 ; micro-prime after travel
53.8,retract_suppressed,0.003206,0.0,-0.24473,0.35,,,,G1 X114.286 Y91.752 E-0.24473,; [stabilizer] RETRACTION SUPPRESSED: G1 X114.286 Y91.752 E-0.24473 | G4 S0.35 ; dwell instead of retract | G1 X114.286 Y91.752 ; travel (no extrusion) | G1 E0.600 F120.0 ; micro-prime after travel
54.15,retract_suppressed,0.003023,0.0,-0.06228,0.35,,,,G1 X114.705 Y92.765 E-0.06228,; [stabilizer] RETRACTION SUPPRESSED: G1 X114.705 Y92.765 E-0.06228 | G4 S0.35 ; dwell instead of retract | G1 X114.705 Y92.765 ; travel (no extrusion) | G1 E0.600 F120.0 ; micro-prime after travel
54.5,retract_suppressed,0.00285,0.0,-0.18245,0.35,,,,G1 X115.934 Y95.731 E-0.18245,; [stabilizer] RETRACTION SUPPRESSED: G1 X115.934 Y95.731 E-0.18245 | G4 S0.35 ; dwell instead of retract | G1 X115.934 Y95.731 ; travel (no extrusion) | G1 E0.600 F120.0 ; micro-prime after travel
54.85,retract_suppressed,0.002688,0.0,-0.2447,0.35,,,,G1 X116.495 Y100.000 E-0.24470,; [stabilizer] RETRACTION SUPPRESSED: G1 X116.495 Y100.000 E-0.24470 | G4 S0.35 ; dwell instead of retract | G1 X116.495 Y100.000 ; travel (no extrusion) | G1 E0.600 F120.0 ; micro-prime after travel
55.2,retract_suppressed,0.002534,0.0,-0.2447,0.35,,,,G1 X115.934 Y104.269 E-0.24470,; [stabilizer] RETRACTION SUPPRESSED: G1 X115.934 Y104.269 E-0.24470 | G4 S0.35 ; dwell instead of retract | G1 X115.934 Y104.269 ; travel (no extrusion) | G1 E0.600 F120.0 ; micro-prime after travel
55.55,retract_suppressed,0.00239,0.0,-0.24474,0.35,,,,G1 X114.286 Y108.248 E-0.24474,; [stabilizer] RETRACTION SUPPRESSED: G1 X114.286 Y108.248 E-0.24474 | G4 S0.35 ; dwell instead of retract | G1 X114.286 Y108.248 ; travel (no extrusion) | G1 E0.600 F120.0 ; micro-prime after travel
55.9,retract_suppressed,0.002253,0.0,-0.24047,0.35,,,,G1 X111.709 Y111.604 E-0.24047,; [stabilizer] RETRACTION SUPPRESSED: G1 X111.709 Y111.604 E-0.24047 | G4 S0.35 ; dwell instead of retract | G1 X111.709 Y111.604 ; travel (no extrusion) | G1 E0.600 F120.0 ; micro-prime after travel
56.25,retract_suppressed,0.002125,0.0,-0.00667,0.35,,,,G1 X112.300 Y112.300 E-0.00667,; [stabilizer] RETRACTION SUPPRESSED: G1 X112.300 Y112.300 E-0.00667 | G4 S0.35 ; dwell instead of retract | G1 X112.300 Y112.300 ; travel (no extrusion) | G1 E0.600 F120.0 ; micro-prime after travel
56.6,retract_suppressed,0.002003,0.0,-0.25809,0.35,,,,G1 X108.698 Y115.065 E-0.25809,; [stabilizer] RETRACTION SUPPRESSED: G1 X108.698 Y115.065 E-0.25809 | G4 S0.35 ; dwell instead of retract | G1 X108.698 Y115.065 ; travel (no extrusion) | G1 E0.600 F120.0 ; micro-prime after travel
56.95,retract_suppressed,0.001889,0.0,-0.2581,0.35,,,,G1 X104.502 Y116.803 E-0.25810,; [stabilizer] RETRACTION SUPPRESSED: G1 X104.502 Y116.803 E-0.25810 | G4 S0.35 ; dwell instead of retract | G1 X104.502 Y116.803 ; travel (no extrusion) | G1 E0.600 F120.0 ; micro-prime after travel
57.3,retract_suppressed,0.001781,0.0,-0.25806,0.35,,,,G1 X100.000 Y117.396 E-0.25806,; [stabilizer] RETRACTION SUPPRESSED: G1 X100.000 Y117.396 E-0.25806 | G4 S0.35 ; dwell instead of retract | G1 X100.000 Y117.396 ; travel (no extrusion) | G1 E0.600 F120.0 ; micro-prime after travel
57.65,retract_suppressed,0.00168,0.0,-0.25806,0.35,,,,G1 X95.498 Y116.803 E-0.25806,; [stabilizer] RETRACTION SUPPRESSED: G1 X95.498 Y116.803 E-0.25806 | G4 S0.35 ; dwell instead of retract | G1 X95.498 Y116.803 ; travel (no extrusion) | G1 E0.600 F120.0 ; micro-prime after travel
58.0,retract_suppressed,0.001584,0.0,-0.2581,0.35,,,,G1 X91.302 Y115.065 E-0.25810,; [stabilizer] RETRACTION SUPPRESSED: G1 X91.302 Y115.065 E-0.25810 | G4 S0.35 ; dwell instead of retract | G1 X91.302 Y115.065 ; travel (no extrusion) | G1 E0.600 F120.0 ; micro-prime after travel
