t_s,action,p_hat,u_prev,e_cmd,dt_s,u_raw,u_shaped,feed_scale,in,out
22.3,retract_suppressed,0.634981,0.0,-0.04565,0.35,,,,G1 X108.602 Y73.043 E-0.04565,; [stabilizer] RETRACTION SUPPRESSED: G1 X108.602 Y73.043 E-0.04565 | G4 S0.35 ; dwell instead of retract | G1 X108.602 Y73.043 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
22.65,retract_suppressed,0.598742,0.0,-0.04439,0.35,,,,G1 X115.318 Y77.032 E-0.04439,; [stabilizer] RETRACTION SUPPRESSED: G1 X115.318 Y77.032 E-0.04439 | G4 S0.35 ; dwell instead of retract | G1 X115.318 Y77.032 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
23.0,retract_suppressed,0.564572,0.0,-0.04428,0.35,,,,G1 X122.284 Y73.542 E-0.04428,; [stabilizer] RETRACTION SUPPRESSED: G1 X122.284 Y73.542 E-0.04428 | G4 S0.35 ; dwell instead of retract | G1 X122.284 Y73.542 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
23.35,retract_suppressed,0.532352,0.0,-0.04559,0.35,,,,G1 X120.712 Y81.408 E-0.04559,; [stabilizer] RETRACTION SUPPRESSED: G1 X120.712 Y81.408 E-0.04559 | G4 S0.35 ; dwell instead of retract | G1 X120.712 Y81.408 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
23.7,retract_suppressed,0.501971,0.0,-0.04468,0.35,,,,G1 X126.036 Y87.193 E-0.04468,; [stabilizer] RETRACTION SUPPRESSED: G1 X126.036 Y87.193 E-0.04468 | G4 S0.35 ; dwell instead of retract | G1 X126.036 Y87.193 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
24.05,retract_suppressed,0.473324,0.0,-0.0438,0.35,,,,G1 X118.379 Y88.068 E-0.04380,; [stabilizer] RETRACTION SUPPRESSED: G1 X118.379 Y88.068 E-0.04380 | G4 S0.35 ; dwell instead of retract | G1 X118.379 Y88.068 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
24.4,retract_suppressed,0.446312,0.0,-0.04498,0.35,,,,G1 X114.743 Y95.099 E-0.04498,; [stabilizer] RETRACTION SUPPRESSED: G1 X114.743 Y95.099 E-0.04498 | G4 S0.35 ; dwell instead of retract | G1 X114.743 Y95.099 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
24.75,retract_suppressed,0.420841,0.0,-4.0,0.35,,,,G1 E-4.00000 F1800.00000,; [stabilizer] RETRACTION SUPPRESSED: G1 E-4.00000 F1800.00000 | G4 S0.35 ; dwell instead of retract | G1 E0.600 F1800.0 ; micro-prime after dwell
25.1,retract_suppressed,0.396823,0.0,-4.0,0.35,,,,G1 E-4.00000 F1800.00000,; [stabilizer] RETRACTION SUPPRESSED: G1 E-4.00000 F1800.00000 | G4 S0.35 ; dwell instead of retract | G1 E0.600 F1800.0 ; micro-prime after dwell
25.45,retract_suppressed,0.374177,0.0,-0.03189,0.35,,,,G1 X89.268 Y78.982 E-0.03189,; [stabilizer] RETRACTION SUPPRESSED: G1 X89.268 Y78.982 E-0.03189 | G4 S0.35 ; dwell instead of retract | G1 X89.268 Y78.982 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
25.8,retract_suppressed,0.352823,0.0,-0.02562,0.35,,,,G1 X92.448 Y82.177 E-0.02562,; [stabilizer] RETRACTION SUPPRESSED: G1 X92.448 Y82.177 E-0.02562 | G4 S0.35 ; dwell instead of retract | G1 X92.448 Y82.177 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
26.15,retract_suppressed,0.332687,0.0,-0.0212,0.35,,,,G1 X94.582 Y85.238 E-0.02120,; [stabilizer] RETRACTION SUPPRESSED: G1 X94.582 Y85.238 E-0.02120 | G4 S0.35 ; dwell instead of retract | G1 X94.582 Y85.238 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
26.5,retract_suppressed,0.313701,0.0,-0.00941,0.35,,,,G1 X95.183 Y86.780 E-0.00941,; [stabilizer] RETRACTION SUPPRESSED: G1 X95.183 Y86.780 E-0.00941 | G4 S0.35 ; dwell instead of retract | G1 X95.183 Y86.780 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
26.85,retract_suppressed,0.295798,0.0,-0.00843,0.35,,,,G1 X95.386 Y88.250 E-0.00843,; [stabilizer] RETRACTION SUPPRESSED: G1 X95.386 Y88.250 E-0.00843 | G4 S0.35 ; dwell instead of retract | G1 X95.386 Y88.250 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
27.2,retract_suppressed,0.278917,0.0,-0.00721,0.35,,,,G1 X95.501 Y89.513 E-0.00721,; [stabilizer] RETRACTION SUPPRESSED: G1 X95.501 Y89.513 E-0.00721 | G4 S0.35 ; dwell instead of retract | G1 X95.501 Y89.513 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
27.55,retract_suppressed,0.262999,0.0,-0.0158,0.35,,,,G1 X95.201 Y92.278 E-0.01580,; [stabilizer] RETRACTION SUPPRESSED: G1 X95.201 Y92.278 E-0.01580 | G4 S0.35 ; dwell instead of retract | G1 X95.201 Y92.278 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
27.9,retract_suppressed,0.24799,0.0,-0.00953,0.35,,,,G1 X94.563 Y93.828 E-0.00953,; [stabilizer] RETRACTION SUPPRESSED: G1 X94.563 Y93.828 E-0.00953 | G4 S0.35 ; dwell instead of retract | G1 X94.563 Y93.828 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
28.25,retract_suppressed,0.233837,0.0,-0.0101,0.35,,,,G1 X93.424 Y95.191 E-0.01010,; [stabilizer] RETRACTION SUPPRESSED: G1 X93.424 Y95.191 E-0.01010 | G4 S0.35 ; dwell instead of retract | G1 X93.424 Y95.191 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
28.6,retract_suppressed,0.220492,0.0,-0.01137,0.35,,,,G1 X91.669 Y96.151 E-0.01137,; [stabilizer] RETRACTION SUPPRESSED: G1 X91.669 Y96.151 E-0.01137 | G4 S0.35 ; dwell instead of retract | G1 X91.669 Y96.151 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
28.95,retract_suppressed,0.207909,0.0,-0.01409,0.35,,,,G1 X89.215 Y96.508 E-0.01409,; [stabilizer] RETRACTION SUPPRESSED: G1 X89.215 Y96.508 E-0.01409 | G4 S0.35 ; dwell instead of retract | G1 X89.215 Y96.508 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
29.3,retract_suppressed,0.196044,0.0,-0.01084,0.35,,,,G1 X87.357 Y96.072 E-0.01084,; [stabilizer] RETRACTION SUPPRESSED: G1 X87.357 Y96.072 E-0.01084 | G4 S0.35 ; dwell instead of retract | G1 X87.357 Y96.072 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
29.65,retract_suppressed,0.184855,0.0,-0.01014,0.35,,,,G1 X85.882 Y95.069 E-0.01014,; [stabilizer] RETRACTION SUPPRESSED: G1 X85.882 Y95.069 E-0.01014 | G4 S0.35 ; dwell instead of retract | G1 X85.882 Y95.069 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
30.0,retract_suppressed,0.174306,0.0,-0.00766,0.35,,,,G1 X84.998 Y94.052 E-0.00766,; [stabilizer] RETRACTION SUPPRESSED: G1 X84.998 Y94.052 E-0.00766 | G4 S0.35 ; dwell instead of retract | G1 X84.998 Y94.052 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
30.35,retract_suppressed,0.164358,0.0,-0.00766,0.35,,,,G1 X84.115 Y95.069 E-0.00766,; [stabilizer] RETRACTION SUPPRESSED: G1 X84.115 Y95.069 E-0.00766 | G4 S0.35 ; dwell instead of retract | G1 X84.115 Y95.069 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
30.7,retract_suppressed,0.154978,0.0,-0.01014,0.35,,,,G1 X82.640 Y96.072 E-0.01014,; [stabilizer] RETRACTION SUPPRESSED: G1 X82.640 Y96.072 E-0.01014 | G4 S0.35 ; dwell instead of retract | G1 X82.640 Y96.072 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
31.05,retract_suppressed,0.146134,0.0,-0.01084,0.35,,,,G1 X80.782 Y96.508 E-0.01084,; [stabilizer] RETRACTION SUPPRESSED: G1 X80.782 Y96.508 E-0.01084 | G4 S0.35 ; dwell instead of retract | G1 X80.782 Y96.508 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
31.4,retract_suppressed,0.137794,0.0,-0.0141,0.35,,,,G1 X78.327 Y96.151 E-0.01410,; [stabilizer] RETRACTION SUPPRESSED: G1 X78.327 Y96.151 E-0.01410 | G4 S0.35 ; dwell instead of retract | G1 X78.327 Y96.151 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
31.75,retract_suppressed,0.12993,0.0,-0.01136,0.35,,,,G1 X76.573 Y95.191 E-0.01136,; [stabilizer] RETRACTION SUPPRESSED: G1 X76.573 Y95.191 E-0.01136 | G4 S0.35 ; dwell instead of retract | G1 X76.573 Y95.191 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
